[23:15:20][no_game_date][pdxassetutil.cpp:1098]: Duplicate texture 'SOV_infantry_diffuse.dds' found (current path 'gfx/models/units/infantry/SOV_infantry_diffuse.dds', previous path 'gfx/models/units/SOV_infantry_diffuse.dds')
[23:15:20][no_game_date][pdxassetutil.cpp:1098]: Duplicate texture 'SOV_infantry_normal.dds' found (current path 'gfx/models/units/infantry/SOV_infantry_normal.dds', previous path 'gfx/models/units/SOV_infantry_normal.dds')
[23:15:20][no_game_date][pdxassetutil.cpp:1098]: Duplicate texture 'SOV_infantry_specular.dds' found (current path 'gfx/models/units/infantry/SOV_infantry_specular.dds', previous path 'gfx/models/units/SOV_infantry_specular.dds')
[23:15:20][no_game_date][pdxassetutil.cpp:1098]: Duplicate texture 'geo_type96_diffuse.dds' found (current path 'gfx/models/units/vehicles/geo_type96_diffuse.dds', previous path 'gfx/models/units/small_arms/geo_type96_diffuse.dds')
[23:15:20][no_game_date][pdxassetutil.cpp:1098]: Duplicate texture 'geo_type96_normal.dds' found (current path 'gfx/models/units/vehicles/geo_type96_normal.dds', previous path 'gfx/models/units/small_arms/geo_type96_normal.dds')
[23:15:20][no_game_date][pdxassetutil.cpp:1098]: Duplicate texture 'geo_type96_specular.dds' found (current path 'gfx/models/units/vehicles/geo_type96_specular.dds', previous path 'gfx/models/units/small_arms/geo_type96_specular.dds')
[23:15:21][no_game_date][pdxmeshtype.cpp:162]: Could not find mesh file gfx/models/units/vehicles/geo_bmp2_POL.mesh for geo_bmp2_POL_mesh, switching to gfx/models/test_object.mesh
[23:15:21][no_game_date][pdx_anim.cpp:1125]: Animation [geo_bmp2_attack_animation]: Animation's number of joints does not match mesh's number of joints. ( Animation 24, Mesh 2)
[23:15:21][no_game_date][pdxmeshtype.cpp:334]: Animation [geo_bmp2_attack_animation] is not compatible with mesh [geo_bmp2_POL_mesh]
[23:15:21][no_game_date][pdx_anim.cpp:1125]: Animation [geo_bmp2_idle_animation]: Animation's number of joints does not match mesh's number of joints. ( Animation 24, Mesh 2)
[23:15:21][no_game_date][pdxmeshtype.cpp:334]: Animation [geo_bmp2_idle_animation] is not compatible with mesh [geo_bmp2_POL_mesh]
[23:15:21][no_game_date][pdx_anim.cpp:1125]: Animation [geo_bmp2_move_animation]: Animation's number of joints does not match mesh's number of joints. ( Animation 24, Mesh 2)
[23:15:21][no_game_date][pdxmeshtype.cpp:334]: Animation [geo_bmp2_move_animation] is not compatible with mesh [geo_bmp2_POL_mesh]
[23:15:22][no_game_date][pdxassetutil.cpp:1138]: Failed to find texture 'tank_spec.dds'
[23:15:23][no_game_date][pdx_entity.cpp:228]: Could not find animation "retreat" for state "retreat" in entity "GER_modern_armor_leo1_entity"
[23:15:23][no_game_date][pdxassetutil.cpp:1138]: Failed to find texture 'geo_sov_infantry_diffuse.dds'
[23:15:23][no_game_date][pdxassetutil.cpp:1138]: Failed to find texture 'geo_sov_infantry_normal.dds'
[23:15:23][no_game_date][pdxassetutil.cpp:1138]: Failed to find texture 'geo_sov_infantry_specular.dds'
[23:15:23][no_game_date][pdx_entity.cpp:2277]: Duplicate of ENG_heavy_gw_armor_0_entity added to entity system
[23:15:25][no_game_date][icon_entry.cpp:37]: Icon definition "rocket_interceptor_equipment_1_medium" does neither look like a file path nor a GFX entry as it does not start with "GFX_"
[23:15:25][no_game_date][icon_entry.cpp:37]: Icon definition "rocket_interceptor_equipment_2_medium" does neither look like a file path nor a GFX entry as it does not start with "GFX_"
[23:15:25][no_game_date][icon_entry.cpp:37]: Icon definition "rocket_interceptor_equipment_3_medium" does neither look like a file path nor a GFX entry as it does not start with "GFX_"
[23:15:26][no_game_date][persistent.cpp:68]: Error: "Expected 'pool': models, near line: 12" in file: "gfx/interface/equipmentdesigner/graphic_db/00_tank_icons.txt" near line: 15
[23:15:29][no_game_date][equipment_graphic_database.cpp:36]: GFX referenced in equipment graphic database does not exist: "rocket_interceptor_equipment_3_medium", associated with default small_plane_airframe_4
[23:15:29][no_game_date][equipment_graphic_database.cpp:36]: GFX referenced in equipment graphic database does not exist: "rocket_interceptor_equipment_1_medium", associated with default small_plane_airframe_3
[23:15:29][no_game_date][equipment_graphic_database.cpp:36]: GFX referenced in equipment graphic database does not exist: "rocket_interceptor_equipment_2_medium", associated with default small_plane_airframe_3
[23:15:29][no_game_date][equipment_graphic_database.cpp:45]: File referenced in equipment graphic database does not exist: "gfx/interface/equipmentdesigner/tanks/designer/lamp_CAN/light_2/CAN_cruiser_tank_mk_3dds", associated with CAN light_tank_chassis_2
[23:15:29][no_game_date][equipment_graphic_database.cpp:36]: GFX referenced in equipment graphic database does not exist: "GFX_HOL_basic_heavy_tank", associated with HOL heavy_tank_chassis
[23:15:29][no_game_date][equipment_graphic_database.cpp:36]: GFX referenced in equipment graphic database does not exist: "GFX_HOL_imp_heavy_tank", associated with HOL heavy_tank_chassis
